PX, vold, vold-volup,바닐라옵션 베가,바닐라옵션 vega(%),조기상환형 vega(%),헤지후 Net vega
480.01,0.00988836,0.0190947,0.00920634,0.01%,-0.001%,0.01%
481.496,0.00940956,0.0182376,0.00882804,0.01%,-0.001%,0.01%
482.983,0.00895369,0.0174185,0.00846481,0.01%,-0.001%,0.01%
484.469,0.00851966,0.0166357,0.00811604,0.01%,-0.001%,0.01%
485.955,0.00810644,0.0158877,0.00778126,0.01%,-0.001%,0.01%
487.441,0.00771303,0.0151729,0.00745987,0.01%,-0.001%,0.01%
488.927,0.0073385,0.0144898,0.0071513,0.01%,-0.001%,0.01%
490.413,0.00698194,0.013837,0.00685506,0.01%,-0.001%,0.01%
491.899,0.0066425,0.0132132,0.0065707,0.01%,-0.001%,0.00%
493.385,0.00631936,0.0126172,0.00629784,0.01%,0.000%,0.01%
494.871,0.00601175,0.0120476,0.00603585,0.01%,0.000%,0.01%
496.357,0.00571893,0.0115033,0.00578437,0.01%,0.000%,0.01%
497.844,0.00544018,0.0109833,0.00554312,0.00%,0.000%,0.00%
499.33,0.00517484,0.0104864,0.00531156,0.00%,0.000%,0.00%
500.816,0.00492226,0.0100115,0.00508924,0.00%,0.000%,0.00%
502.302,0.00468184,0.00955781,0.00487597,0.00%,0.000%,0.00%
503.788,0.00445298,0.00912426,0.00467128,0.00%,0.000%,0.00%
505.274,0.00423514,0.00870999,0.00447485,0.00%,0.000%,0.00%
506.76,0.00402779,0.00831413,0.00428634,0.00%,0.000%,0.00%
508.246,0.00383041,0.00793587,0.00410546,0.00%,0.000%,0.00%
509.732,0.00364254,0.00757441,0.00393187,0.00%,0.000%,0.00%
511.218,0.0034637,0.00722899,0.00376529,0.00%,0.000%,0.00%
512.705,0.00329347,0.00689891,0.00360544,0.00%,0.000%,0.00%
514.191,0.00313143,0.00658346,0.00345203,0.00%,0.000%,0.00%
515.677,0.00297718,0.00628199,0.00330481,0.00%,0.000%,0.00%
517.163,0.00283035,0.00599387,0.00316352,0.00%,0.000%,0.00%
518.649,0.00269056,0.00571849,0.00302793,0.00%,0.000%,0.00%
520.135,0.00255749,0.00545527,0.00289778,0.00%,0.000%,0.00%
521.621,0.0024308,0.00520366,0.00277286,0.00%,0.000%,0.00%
523.107,0.00231017,0.00496313,0.00265296,0.00%,0.000%,0.00%
524.593,0.00219532,0.00473318,0.00253786,0.00%,0.000%,0.00%
526.079,0.00208596,0.0045133,0.00242734,0.00%,0.000%,0.00%
527.566,0.00198181,0.00430305,0.00232124,0.00%,0.000%,0.00%
529.052,0.00188262,0.00410197,0.00221935,0.00%,0.000%,0.00%
530.538,0.00178814,0.00390963,0.00212149,0.00%,0.000%,0.00%
532.024,0.00169814,0.00372564,0.0020275,0.00%,0.000%,0.00%
533.51,0.0016124,0.00354959,0.00193719,0.00%,0.000%,0.00%
534.996,0.00153069,0.00338112,0.00185043,0.00%,0.000%,0.00%
536.482,0.00145282,0.00321986,0.00176704,0.00%,0.000%,0.00%
537.968,0.00137859,0.00306546,0.00168687,0.00%,0.000%,0.00%
539.454,0.00130782,0.00291761,0.00160979,0.00%,0.000%,0.00%
540.94,0.00124032,0.00277597,0.00153565,0.00%,0.000%,0.00%
542.427,0.00117593,0.00264025,0.00146432,0.00%,0.000%,0.00%
543.913,0.00111449,0.00251016,0.00139567,0.00%,0.000%,0.00%
545.399,0.00105584,0.00238541,0.00132957,0.00%,0.000%,0.00%
546.885,0.000999832,0.00226575,0.001265918,0.00%,0.000%,0.00%
548.371,0.00094633,0.0021509,0.00120457,0.00%,0.000%,0.00%
549.857,0.000895195,0.00204062,0.001145425,0.00%,0.000%,0.00%
551.343,0.000846299,0.00193468,0.001088381,0.00%,0.000%,0.00%
552.829,0.000799518,0.00183285,0.001033332,0.00%,0.000%,0.00%
554.315,0.000754733,0.0017349,0.000980167,0.00%,0.000%,0.00%
555.801,0.000711832,0.00164063,0.000928798,0.00%,0.000%,0.00%
557.288,0.000670705,0.00154982,0.000879115,0.00%,0.000%,0.00%
558.774,0.000631249,0.0014623,0.000831051,0.00%,0.000%,0.00%
560.26,0.000593362,0.00137785,0.000784488,0.00%,0.000%,0.00%
561.746,0.00055695,0.00129631,0.00073936,0.00%,0.000%,0.00%
563.232,0.000521919,0.0012175,0.000695581,0.00%,0.000%,0.00%
564.718,0.000488181,0.00114125,0.000653069,0.00%,0.000%,0.00%
566.204,0.000455651,0.00106738,0.000611729,0.00%,0.000%,0.00%
567.69,0.000424246,0.000995754,0.000571508,0.00%,0.000%,0.00%
569.176,0.000393887,0.000926206,0.000532319,0.00%,0.000%,0.00%
570.662,0.000364497,0.000858588,0.000494091,0.00%,0.000%,0.00%
572.149,0.000336003,0.000792758,0.000456755,0.00%,0.000%,0.00%
573.635,0.000308333,0.000728574,0.000420241,0.00%,0.000%,0.00%
575.121,0.000281417,0.0006659,0.000384483,0.00%,0.000%,0.00%
576.607,0.000255189,0.000604605,0.000349416,0.00%,0.000%,0.00%
578.093,0.000229583,0.000544558,0.000314975,0.00%,0.000%,0.00%
579.579,0.000204537,0.000485634,0.000281097,0.00%,0.000%,0.00%
581.065,0.000179988,0.000427711,0.000247723,0.00%,0.000%,0.00%
582.551,0.000155877,0.000370669,0.000214792,0.00%,0.000%,0.00%
584.037,0.000132144,0.00031439,0.000182246,0.00%,0.000%,0.00%
585.523,0.000108734,0.000258759,0.000150025,0.00%,0.000%,0.00%
587.01,8.56E-05,0.000203665,0.000118076,0.00%,0.000%,0.00%
